2022-03-03 15:14:56,828 - movie_logger - INFO - 가상 브라우저 실행...
2022-03-03 15:14:57,136 - movie_logger - INFO - 네이버 영화 랭킹 1페이지 이동 실행...
2022-03-03 15:14:57,155 - movie_logger - INFO - 1-클라우스 영화 제목 클릭... :
2022-03-03 15:14:58,014 - movie_logger - INFO - 영화 평점 클릭...
2022-03-03 15:14:58,032 - movie_logger - INFO - 영화 제목 수집 : 클라우스
2022-03-03 15:14:58,050 - movie_logger - INFO - iframe으로 전환
2022-03-03 15:14:58,084 - movie_logger - INFO - 1,클라우스
2022-03-03 15:14:58,113 - movie_logger - INFO - 2,클라우스
2022-03-03 15:14:58,141 - movie_logger - INFO - 3,클라우스
2022-03-03 15:14:58,168 - movie_logger - INFO - 4,클라우스
2022-03-03 15:14:58,195 - movie_logger - INFO - 5,클라우스
2022-03-03 15:14:58,225 - movie_logger - INFO - 6,클라우스
2022-03-03 15:14:58,256 - movie_logger - INFO - 7,클라우스
2022-03-03 15:14:58,286 - movie_logger - INFO - 8,클라우스
2022-03-03 15:14:58,326 - movie_logger - INFO - 9,클라우스
2022-03-03 15:14:58,368 - movie_logger - INFO - 10,클라우스
2022-03-03 15:14:58,510 - movie_logger - INFO - 다음 페이지 클릭
2022-03-03 15:14:58,552 - movie_logger - INFO - 11,클라우스
2022-03-03 15:14:58,583 - movie_logger - INFO - 12,클라우스
2022-03-03 15:14:58,612 - movie_logger - INFO - 13,클라우스
2022-03-03 15:14:58,642 - movie_logger - INFO - 14,클라우스
2022-03-03 15:14:58,673 - movie_logger - INFO - 15,클라우스
2022-03-03 15:14:58,702 - movie_logger - INFO - 16,클라우스
2022-03-03 15:14:58,730 - movie_logger - INFO - 17,클라우스
2022-03-03 15:14:58,761 - movie_logger - INFO - 18,클라우스
2022-03-03 15:14:58,792 - movie_logger - INFO - 19,클라우스
2022-03-03 15:14:58,824 - movie_logger - INFO - 20,클라우스
2022-03-03 15:14:58,967 - movie_logger - INFO - 다음 페이지 클릭
2022-03-03 15:14:59,004 - movie_logger - INFO - 21,클라우스
2022-03-03 15:14:59,033 - movie_logger - INFO - 22,클라우스
2022-03-03 15:14:59,066 - movie_logger - INFO - 23,클라우스
2022-03-03 15:14:59,095 - movie_logger - INFO - 24,클라우스
2022-03-03 15:14:59,127 - movie_logger - INFO - 25,클라우스
2022-03-03 15:14:59,158 - movie_logger - INFO - 26,클라우스
2022-03-03 15:14:59,188 - movie_logger - INFO - 27,클라우스
2022-03-03 15:14:59,217 - movie_logger - INFO - 28,클라우스
2022-03-03 15:14:59,248 - movie_logger - INFO - 29,클라우스
2022-03-03 15:14:59,277 - movie_logger - INFO - 30,클라우스
2022-03-03 15:14:59,411 - movie_logger - INFO - 다음 페이지 클릭
2022-03-03 15:14:59,445 - movie_logger - INFO - 31,클라우스
2022-03-03 15:14:59,473 - movie_logger - INFO - 32,클라우스
2022-03-03 15:14:59,500 - movie_logger - INFO - 33,클라우스
2022-03-03 15:14:59,529 - movie_logger - INFO - 34,클라우스
2022-03-03 15:14:59,558 - movie_logger - INFO - 35,클라우스
2022-03-03 15:14:59,589 - movie_logger - INFO - 36,클라우스
2022-03-03 15:14:59,617 - movie_logger - INFO - 37,클라우스
2022-03-03 15:14:59,645 - movie_logger - INFO - 38,클라우스
2022-03-03 15:14:59,674 - movie_logger - INFO - 39,클라우스
2022-03-03 15:14:59,704 - movie_logger - INFO - 40,클라우스
2022-03-03 15:14:59,837 - movie_logger - INFO - 다음 페이지 클릭
2022-03-03 15:14:59,871 - movie_logger - INFO - 41,클라우스
2022-03-03 15:14:59,899 - movie_logger - INFO - 42,클라우스
2022-03-03 15:14:59,929 - movie_logger - INFO - 43,클라우스
2022-03-03 15:14:59,958 - movie_logger - INFO - 44,클라우스
2022-03-03 15:14:59,988 - movie_logger - INFO - 45,클라우스
2022-03-03 15:15:00,018 - movie_logger - INFO - 46,클라우스
2022-03-03 15:15:00,048 - movie_logger - INFO - 47,클라우스
2022-03-03 15:15:00,077 - movie_logger - INFO - 48,클라우스
2022-03-03 15:15:00,107 - movie_logger - INFO - 49,클라우스
2022-03-03 15:15:00,137 - movie_logger - INFO - 50,클라우스
2022-03-03 15:15:00,270 - movie_logger - INFO - 다음 페이지 클릭
2022-03-03 15:15:00,304 - movie_logger - INFO - 51,클라우스
2022-03-03 15:15:00,337 - movie_logger - INFO - 52,클라우스
2022-03-03 15:15:00,366 - movie_logger - INFO - 53,클라우스
2022-03-03 15:15:00,395 - movie_logger - INFO - 54,클라우스
2022-03-03 15:15:00,426 - movie_logger - INFO - 55,클라우스
2022-03-03 15:15:00,456 - movie_logger - INFO - 56,클라우스
2022-03-03 15:15:00,485 - movie_logger - INFO - 57,클라우스
2022-03-03 15:15:00,515 - movie_logger - INFO - 58,클라우스
2022-03-03 15:15:00,545 - movie_logger - INFO - 59,클라우스
2022-03-03 15:15:00,579 - movie_logger - INFO - 60,클라우스
2022-03-03 15:15:00,722 - movie_logger - INFO - 다음 페이지 클릭
2022-03-03 15:15:00,767 - movie_logger - INFO - 61,클라우스
2022-03-03 15:15:00,797 - movie_logger - INFO - 62,클라우스
2022-03-03 15:15:00,827 - movie_logger - INFO - 63,클라우스
2022-03-03 15:15:00,857 - movie_logger - INFO - 64,클라우스
2022-03-03 15:15:00,888 - movie_logger - INFO - 65,클라우스
2022-03-03 15:15:00,919 - movie_logger - INFO - 66,클라우스
2022-03-03 15:15:00,950 - movie_logger - INFO - 67,클라우스
2022-03-03 15:15:00,979 - movie_logger - INFO - 68,클라우스
2022-03-03 15:15:01,010 - movie_logger - INFO - 69,클라우스
2022-03-03 15:15:01,041 - movie_logger - INFO - 70,클라우스
2022-03-03 15:15:01,164 - movie_logger - INFO - 다음 페이지 클릭
2022-03-03 15:15:01,205 - movie_logger - INFO - 71,클라우스
2022-03-03 15:15:01,236 - movie_logger - INFO - 72,클라우스
2022-03-03 15:15:01,266 - movie_logger - INFO - 73,클라우스
2022-03-03 15:15:01,298 - movie_logger - INFO - 74,클라우스
2022-03-03 15:15:01,327 - movie_logger - INFO - 75,클라우스
2022-03-03 15:15:01,357 - movie_logger - INFO - 76,클라우스
2022-03-03 15:15:01,387 - movie_logger - INFO - 77,클라우스
2022-03-03 15:15:01,418 - movie_logger - INFO - 78,클라우스
2022-03-03 15:15:01,449 - movie_logger - INFO - 79,클라우스
2022-03-03 15:15:01,483 - movie_logger - INFO - 80,클라우스
2022-03-03 15:15:01,620 - movie_logger - INFO - 다음 페이지 클릭
2022-03-03 15:15:01,654 - movie_logger - INFO - 81,클라우스
2022-03-03 15:15:01,688 - movie_logger - INFO - 82,클라우스
2022-03-03 15:15:01,720 - movie_logger - INFO - 83,클라우스
2022-03-03 15:15:01,751 - movie_logger - INFO - 84,클라우스
2022-03-03 15:15:01,782 - movie_logger - INFO - 85,클라우스
2022-03-03 15:15:01,813 - movie_logger - INFO - 86,클라우스
2022-03-03 15:15:01,846 - movie_logger - INFO - 87,클라우스
2022-03-03 15:15:01,877 - movie_logger - INFO - 88,클라우스
2022-03-03 15:15:01,906 - movie_logger - INFO - 89,클라우스
2022-03-03 15:15:01,938 - movie_logger - INFO - 90,클라우스
2022-03-03 15:15:02,075 - movie_logger - INFO - 다음 페이지 클릭
2022-03-03 15:15:02,111 - movie_logger - INFO - 91,클라우스
2022-03-03 15:15:02,143 - movie_logger - INFO - 92,클라우스
2022-03-03 15:15:02,176 - movie_logger - INFO - 93,클라우스
2022-03-03 15:15:02,206 - movie_logger - INFO - 94,클라우스
2022-03-03 15:15:02,234 - movie_logger - INFO - 95,클라우스
2022-03-03 15:15:02,266 - movie_logger - INFO - 96,클라우스
2022-03-03 15:15:02,299 - movie_logger - INFO - 97,클라우스
2022-03-03 15:15:02,332 - movie_logger - INFO - 98,클라우스
2022-03-03 15:15:02,363 - movie_logger - INFO - 99,클라우스
2022-03-03 15:15:02,395 - movie_logger - INFO - 100,클라우스
2022-03-03 15:15:02,528 - movie_logger - INFO - 다음 페이지 클릭
2022-03-03 15:15:02,564 - movie_logger - INFO - 101,클라우스
2022-03-03 15:15:02,596 - movie_logger - INFO - 102,클라우스
2022-03-03 15:15:02,628 - movie_logger - INFO - 103,클라우스
2022-03-03 15:15:02,662 - movie_logger - INFO - 104,클라우스
2022-03-03 15:15:02,695 - movie_logger - INFO - 105,클라우스
2022-03-03 15:15:02,727 - movie_logger - INFO - 106,클라우스
2022-03-03 15:15:02,759 - movie_logger - INFO - 107,클라우스
2022-03-03 15:15:02,788 - movie_logger - INFO - 108,클라우스
2022-03-03 15:15:02,820 - movie_logger - INFO - 109,클라우스
2022-03-03 15:15:02,854 - movie_logger - INFO - 110,클라우스
2022-03-03 15:15:03,007 - movie_logger - INFO - 다음 페이지 클릭
2022-03-03 15:15:03,045 - movie_logger - INFO - 111,클라우스
2022-03-03 15:15:03,077 - movie_logger - INFO - 112,클라우스
2022-03-03 15:15:03,108 - movie_logger - INFO - 113,클라우스
2022-03-03 15:15:03,141 - movie_logger - INFO - 114,클라우스
2022-03-03 15:15:03,173 - movie_logger - INFO - 115,클라우스
2022-03-03 15:15:03,205 - movie_logger - INFO - 116,클라우스
2022-03-03 15:15:03,238 - movie_logger - INFO - 117,클라우스
2022-03-03 15:15:03,272 - movie_logger - INFO - 118,클라우스
2022-03-03 15:15:03,305 - movie_logger - INFO - 119,클라우스
2022-03-03 15:15:03,337 - movie_logger - INFO - 120,클라우스
2022-03-03 15:15:03,471 - movie_logger - INFO - 다음 페이지 클릭
2022-03-03 15:15:03,516 - movie_logger - INFO - 121,클라우스
2022-03-03 15:15:03,551 - movie_logger - INFO - 122,클라우스
2022-03-03 15:15:03,583 - movie_logger - INFO - 123,클라우스
2022-03-03 15:15:03,616 - movie_logger - INFO - 124,클라우스
2022-03-03 15:15:03,647 - movie_logger - INFO - 125,클라우스
2022-03-03 15:15:03,680 - movie_logger - INFO - 126,클라우스
2022-03-03 15:15:03,711 - movie_logger - INFO - 127,클라우스
2022-03-03 15:15:03,743 - movie_logger - INFO - 128,클라우스
2022-03-03 15:15:03,775 - movie_logger - INFO - 129,클라우스
2022-03-03 15:15:03,809 - movie_logger - INFO - 130,클라우스
2022-03-03 15:15:03,939 - movie_logger - INFO - 다음 페이지 클릭
2022-03-03 15:15:03,977 - movie_logger - INFO - 131,클라우스
2022-03-03 15:15:04,010 - movie_logger - INFO - 132,클라우스
2022-03-03 15:15:04,040 - movie_logger - INFO - 133,클라우스
2022-03-03 15:15:04,072 - movie_logger - INFO - 134,클라우스
2022-03-03 15:15:04,105 - movie_logger - INFO - 135,클라우스
2022-03-03 15:15:04,136 - movie_logger - INFO - 136,클라우스
2022-03-03 15:15:04,168 - movie_logger - INFO - 137,클라우스
2022-03-03 15:15:04,200 - movie_logger - INFO - 138,클라우스
2022-03-03 15:15:04,233 - movie_logger - INFO - 139,클라우스
2022-03-03 15:15:04,267 - movie_logger - INFO - 140,클라우스
2022-03-03 15:15:04,405 - movie_logger - INFO - 다음 페이지 클릭
2022-03-03 15:15:04,443 - movie_logger - INFO - 141,클라우스
2022-03-03 15:15:04,479 - movie_logger - INFO - 142,클라우스
2022-03-03 15:15:04,512 - movie_logger - INFO - 143,클라우스
2022-03-03 15:15:04,545 - movie_logger - INFO - 144,클라우스
2022-03-03 15:15:04,580 - movie_logger - INFO - 145,클라우스
2022-03-03 15:15:04,611 - movie_logger - INFO - 146,클라우스
2022-03-03 15:15:04,644 - movie_logger - INFO - 147,클라우스
2022-03-03 15:15:04,677 - movie_logger - INFO - 148,클라우스
2022-03-03 15:15:04,711 - movie_logger - INFO - 149,클라우스
2022-03-03 15:15:04,745 - movie_logger - INFO - 150,클라우스
2022-03-03 15:15:04,894 - movie_logger - INFO - 다음 페이지 클릭
2022-03-03 15:15:04,935 - movie_logger - INFO - 151,클라우스
2022-03-03 15:15:04,969 - movie_logger - INFO - 152,클라우스
2022-03-03 15:15:05,003 - movie_logger - INFO - 153,클라우스
2022-03-03 15:15:05,036 - movie_logger - INFO - 154,클라우스
2022-03-03 15:15:05,069 - movie_logger - INFO - 155,클라우스
2022-03-03 15:15:05,103 - movie_logger - INFO - 156,클라우스
2022-03-03 15:15:05,137 - movie_logger - INFO - 157,클라우스
2022-03-03 15:15:05,171 - movie_logger - INFO - 158,클라우스
2022-03-03 15:15:05,206 - movie_logger - INFO - 159,클라우스
2022-03-03 15:15:05,240 - movie_logger - INFO - 160,클라우스
2022-03-03 15:15:05,370 - movie_logger - INFO - 다음 페이지 클릭
2022-03-03 15:15:05,410 - movie_logger - INFO - 161,클라우스
2022-03-03 15:15:05,445 - movie_logger - INFO - 162,클라우스
2022-03-03 15:15:05,481 - movie_logger - INFO - 163,클라우스
